,example_id,model,json_valid,field_coverage,recommended_channel_match,kpi_jaccard,text_jaccard_vs_expected,image_prompt_present,latency_sec
0,0,fine_tuned,0.0,0.0,0.0,0.0,0.0,0.0,136.35044156899994
1,1,fine_tuned,1.0,1.0,1.0,1.0,0.8633540372670807,1.0,103.93529302399998
2,2,fine_tuned,1.0,1.0,1.0,1.0,0.7388888888888889,1.0,104.01638847599997
3,3,fine_tuned,1.0,1.0,1.0,1.0,0.823170731707317,1.0,104.97225558500008
4,4,fine_tuned,1.0,1.0,1.0,1.0,0.7757575757575758,1.0,106.30580546199985
5,5,fine_tuned,1.0,1.0,1.0,1.0,0.6596858638743456,1.0,104.54823801299995
6,6,fine_tuned,1.0,1.0,1.0,1.0,0.7891566265060241,1.0,104.31116786800021
7,7,fine_tuned,1.0,1.0,1.0,1.0,0.8275862068965517,1.0,106.22423940599992
8,8,fine_tuned,1.0,1.0,0.0,1.0,0.4117647058823529,1.0,106.20009633299969
9,9,fine_tuned,1.0,1.0,1.0,1.0,0.7359550561797753,1.0,104.3745556470003
10,10,fine_tuned,1.0,1.0,1.0,1.0,0.7337278106508875,1.0,74.116685255
11,11,fine_tuned,0.0,0.0,0.0,0.0,0.0,0.0,103.33422822700004
12,12,fine_tuned,1.0,1.0,1.0,1.0,0.6987951807228916,1.0,103.67212763999987
13,13,fine_tuned,1.0,1.0,1.0,1.0,0.8520710059171598,1.0,102.83360099699985
14,14,fine_tuned,1.0,1.0,1.0,1.0,0.651685393258427,1.0,101.7069379579998
15,15,fine_tuned,1.0,1.0,1.0,0.25,0.7654320987654321,1.0,78.56504876100007
16,16,fine_tuned,1.0,1.0,1.0,1.0,0.6868131868131868,1.0,71.31263956700013
17,17,fine_tuned,1.0,1.0,0.0,1.0,0.49029126213592233,1.0,102.14270625699965
18,18,fine_tuned,1.0,1.0,1.0,1.0,0.9727891156462585,1.0,100.90835562100028
19,19,fine_tuned,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,68.08752136300018
20,20,fine_tuned,1.0,1.0,1.0,1.0,0.7191011235955056,1.0,100.80255388499972
21,21,fine_tuned,1.0,1.0,0.0,1.0,0.4221105527638191,1.0,101.50221766999994
22,22,fine_tuned,1.0,1.0,1.0,0.42857142857142855,0.7757575757575758,1.0,100.78736242399964
23,23,fine_tuned,1.0,1.0,1.0,1.0,0.8875,1.0,101.9349285129997
24,24,fine_tuned,1.0,1.0,1.0,0.42857142857142855,0.6923076923076923,1.0,74.30486350299998
25,25,fine_tuned,1.0,1.0,1.0,1.0,0.8024691358024691,1.0,99.6760028030003
26,26,fine_tuned,0.0,0.0,0.0,0.0,0.0,0.0,101.06749378400036
27,27,fine_tuned,1.0,1.0,1.0,1.0,0.8506493506493507,1.0,101.26537905300029
28,28,fine_tuned,1.0,1.0,1.0,1.0,0.7052023121387283,1.0,99.98474505899958
29,29,fine_tuned,1.0,1.0,1.0,1.0,0.6763005780346821,1.0,100.15480208099962
30,30,fine_tuned,1.0,1.0,1.0,1.0,0.7710843373493976,1.0,101.63956966400019
31,31,fine_tuned,1.0,1.0,0.0,1.0,0.5080213903743316,1.0,99.98602415500045
